Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
46	90	528.316476346	117.009787928	0.000097	-0.085204	528	395	0.0	-0.085	0	0	1	0	0
46	90	528.316476346	117.009787928	0.000097	-0.085204	528	395	0.0	-0.085	0	0	1	0	20
46	90	528.453507341	116.924959217	0.000139	-0.085230	528	395	0.0	-0.085	0	0	1	0	41
46	90	528.590538336	116.840130506	0.000181	-0.085256	528	395	0.0	-0.085	0	0	1	0	60
46	90	528.724306688	116.755301794	0.000222	-0.085282	528	395	0.0	-0.085	0	0	1	0	81
46	90	528.861337684	116.66721044	0.000264	-0.085309	528	395	0.0	-0.085	0	0	1	0	100
46	90	528.998368679	116.582381729	0.000306	-0.085335	528	395	0.0	-0.085	0	0	1	0	120
46	90	529.135399674	116.497553018	0.000348	-0.085361	528	395	0.0	-0.085	0	0	1	0	141
46	90	529.135399674	116.497553018	0.000348	-0.085361	528	395	0.0	-0.085	0	0	1	0	160
46	90	529.135399674	116.497553018	0.000348	-0.085361	528	395	0.0	-0.085	0	0	1	0	180
46	90	529.135399674	116.497553018	0.000348	-0.085361	528	395	0.0	-0.085	0	0	1	0	200
46	90	528.998368679	116.582381729	0.000306	-0.085335	528	395	0.0	-0.085	0	0	1	0	221
46	90	528.903752039	116.497553018	0.000277	-0.085361	528	395	0.0	-0.085	0	0	1	0	240
46	90	528.903752039	116.497553018	0.000277	-0.085361	528	395	0.0	-0.085	0	0	1	0	260
46	90	528.675367047	116.497553018	0.000207	-0.085361	528	395	0.0	-0.085	0	0	1	0	280
46	90	528.675367047	116.497553018	0.000207	-0.085361	528	395	0.0	-0.085	0	0	1	0	300
46	90	528.443719413	116.497553018	0.000136	-0.085361	528	395	0.0	-0.085	0	0	1	0	320
46	90	528.349102773	116.409461664	0.000107	-0.085388	528	395	0.0	-0.085	0	0	1	0	340
46	90	528.391517129	116.239804241	0.000120	-0.085440	528	395	0.0	-0.085	0	0	1	0	360
46	90	528.528548124	116.15497553	0.000162	-0.085466	528	395	0.0	-0.085	0	0	1	0	380
46	90	528.433931485	116.066884176	0.000133	-0.085493	528	395	0.0	-0.085	0	0	1	0	401
46	90	528.57096248	115.982055465	0.000175	-0.085519	528	395	0.0	-0.085	0	0	1	0	420
46	90	528.47634584	115.897226754	0.000146	-0.085545	528	395	0.0	-0.085	0	0	1	0	440
46	90	528.424143556	115.639477977	0.000130	-0.085624	528	395	0.0	-0.085	0	0	1	0	461
46	90	528.23817292	115.469820555	0.000073	-0.085676	528	395	0.0	-0.085	0	0	1	0	480
46	90	527.820554649	115.296900489	-0.000055	-0.085729	528	395	0.0	-0.085	0	0	1	0	500
46	90	527.445350734	114.954323002	-0.000170	-0.085834	528	395	0.0	-0.085	0	0	1	0	521
46	90	527.024469821	114.784665579	-0.000299	-0.085886	528	395	0.0	-0.085	0	0	1	0	540
46	90	526.701468189	114.696574225	-0.000398	-0.085913	528	395	0.0	-0.085	0	0	1	0	560
46	90	526.51223491	114.526916803	-0.000456	-0.085965	528	395	0.0	-0.085	0	0	1	0	580
46	90	526.326264274	114.35725938	-0.000513	-0.086017	528	395	0.0	-0.085	0	0	1	0	600
46	90	526.326264274	114.35725938	-0.000513	-0.086017	528	395	0.0	-0.085	0	0	1	0	620
46	90	525.781402936	114.699836868	-0.000680	-0.085912	528	395	0.0	-0.085	0	0	1	0	640
46	90	525.057096248	115.300163132	-0.000902	-0.085728	528	395	0.0	-0.085	0	0	1	0	660
46	90	524.293637847	116.070146819	-0.001136	-0.085492	528	395	0.0	-0.085	0	0	1	0	681
46	90	523.853181077	116.92822186	-0.001271	-0.085229	528	395	0.0	-0.085	0	0	1	0	700
46	90	522.923327896	118.389885808	-0.001556	-0.084781	528	395	0.0	-0.085	0	0	1	0	720
46	90	521.990212072	119.851549755	-0.001842	-0.084333	528	395	0.0	-0.085	0	0	1	0	740
46	90	521.800978793	121.57096248	-0.001900	-0.083806	528	395	0.0	-0.085	0	0	1	0	760
46	90	521.360522023	124.327895595	-0.002035	-0.082961	528	395	0.0	-0.085	0	0	1	0	780
46	90	521.572593801	127.694942904	-0.001970	-0.081929	528	395	0.0	-0.085	0	0	1	0	800
46	90	521.497553018	132.716150082	-0.001993	-0.080390	528	395	0.0	-0.085	0	0	1	0	820
46	90	521.484502447	138.885807504	-0.001997	-0.078499	528	395	0.0	-0.085	0	0	1	0	840
46	90	521.040783034	146.83360522	-0.002133	-0.076063	528	395	0.0	-0.085	0	0	1	0	861
46	90	520.261011419	157.117455139	-0.002372	-0.072911	528	395	0.0	-0.085	0	0	1	0	880
46	90	519.673735726	169.430668842	-0.002552	-0.069137	528	395	0.0	-0.085	0	0	1	0	900
46	90	518.636215334	183.636215334	-0.002870	-0.064783	528	395	0.0	-0.085	0	0	1	0	920
46	90	517.670473083	199.420880914	-0.003166	-0.059945	528	395	0.0	-0.085	0	0	1	0	940
46	90	517.243066884	216.187601958	-0.003297	-0.054806	528	395	0.0	-0.085	0	0	1	0	960
46	90	516.110929853	234.050570962	-0.003644	-0.049331	528	395	0.0	-0.085	0	0	1	0	980
46	90	515.060358891	252.481239804	-0.003966	-0.043682	528	395	0.0	-0.085	0	0	1	0	1000
46	90	514.003262643	270.445350734	-0.004290	-0.038176	528	395	0.0	-0.085	0	0	1	0	1020
46	90	513.768352365	286.673735726	-0.004362	-0.033202	528	395	0.0	-0.085	0	0	1	0	1041
46	90	513.879282219	301.796084829	-0.004328	-0.028567	528	395	0.0	-0.085	0	0	1	0	1060
46	90	513.601957586	317.140293638	-0.004413	-0.023864	528	395	0.0	-0.085	0	0	1	0	1081
46	90	511.324632953	334.278955954	-0.005111	-0.018611	528	395	0.0	-0.085	0	0	1	0	1101
46	90	507.924959217	352.758564437	-0.006153	-0.012947	528	395	0.0	-0.085	0	0	1	0	1120
46	90	503.295269168	372.722675367	-0.007572	-0.006828	528	395	0.0	-0.085	0	0	1	0	1140
46	90	498.365415987	393.792822186	-0.009083	-0.000370	528	395	0.0	-0.085	0	0	1	0	1160
46	90	493.830342577	415.580750408	-0.010473	0.006308	528	395	0.0	-0.085	0	0	1	0	1180
46	90	488.982055465	439.029363785	-0.011959	0.013495	528	395	0.0	-0.085	0	0	1	0	1201
46	90	485.220228385	463.120717781	-0.013112	0.020879	528	395	0.0	-0.085	0	0	1	0	1220
46	90	481.654159869	487.769983687	-0.014205	0.028434	528	395	0.0	-0.085	0	0	1	0	1240
46	90	479.017944535	511.27406199	-0.015013	0.035638	528	395	0.0	-0.085	-0.015013	0.035638	1	0	1608
47	50	528.600326264	117.267536705	0.000184	-0.085125	528	395	0.0	-0.085	0	0	1	0	0
47	50	528.828711256	117.267536705	0.000254	-0.085125	528	395	0.0	-0.085	0	0	1	0	20
47	50	529.099510604	117.097879282	0.000337	-0.085177	528	395	0.0	-0.085	0	0	1	0	40
47	50	529.601957586	116.924959217	0.000491	-0.085230	528	395	0.0	-0.085	0	0	1	0	60
47	50	530.241435563	116.670473083	0.000687	-0.085308	528	395	0.0	-0.085	0	0	1	0	80
47	50	530.7862969	116.327895595	0.000854	-0.085413	528	395	0.0	-0.085	0	0	1	0	100
47	50	531.425774878	116.070146819	0.001050	-0.085492	528	395	0.0	-0.085	0	0	1	0	120
47	50	532.293637847	115.815660685	0.001316	-0.085570	528	395	0.0	-0.085	0	0	1	0	140
47	50	533.259380098	115.646003263	0.001612	-0.085622	528	395	0.0	-0.085	0	0	1	0	160
47	50	534.042414356	115.734094617	0.001852	-0.085595	528	395	0.0	-0.085	0	0	1	0	180
47	50	534.962479608	115.734094617	0.002134	-0.085595	528	395	0.0	-0.085	0	0	1	0	200
47	50	535.422512235	115.737357259	0.002275	-0.085594	528	395	0.0	-0.085	0	0	1	0	220
47	50	535.787928222	115.652528548	0.002387	-0.085620	528	395	0.0	-0.085	0	0	1	0	240
47	50	535.924959217	115.567699837	0.002429	-0.085646	528	395	0.0	-0.085	0	0	1	0	260
47	50	535.601957586	115.479608483	0.002330	-0.085673	528	395	0.0	-0.085	0	0	1	0	280
47	50	534.730831974	115.734094617	0.002063	-0.085595	528	395	0.0	-0.085	0	0	1	0	300
47	50	533.905383361	115.818923328	0.001810	-0.085569	528	395	0.0	-0.085	0	0	1	0	320
47	50	533.350734095	115.730831974	0.001640	-0.085596	528	395	0.0	-0.085	0	0	1	0	340
47	50	533.027732463	115.646003263	0.001541	-0.085622	528	395	0.0	-0.085	0	0	1	0	361
47	50	532.747145188	115.388254486	0.001455	-0.085701	528	395	0.0	-0.085	0	0	1	0	380
47	50	532.466557912	115.13050571	0.001369	-0.085780	528	395	0.0	-0.085	0	0	1	0	401
47	50	532.456769984	114.703099511	0.001366	-0.085911	528	395	0.0	-0.085	0	0	1	0	421
47	50	532.541598695	114.360522023	0.001392	-0.086016	528	395	0.0	-0.085	0	0	1	0	440
47	50	532.995106036	113.933115824	0.001531	-0.086147	528	395	0.0	-0.085	0	0	1	0	460
47	50	533.308319739	113.590538336	0.001627	-0.086252	528	395	0.0	-0.085	0	0	1	0	480
47	50	533.445350734	113.505709625	0.001669	-0.086278	528	395	0.0	-0.085	0	0	1	0	500
47	50	533.810766721	113.420880914	0.001781	-0.086304	528	395	0.0	-0.085	0	0	1	0	520
47	50	533.947797716	113.336052202	0.001823	-0.086330	528	395	0.0	-0.085	0	0	1	0	540
47	50	534.084828711	113.251223491	0.001865	-0.086356	528	395	0.0	-0.085	0	0	1	0	560
47	50	533.947797716	113.336052202	0.001823	-0.086330	528	395	0.0	-0.085	0	0	1	0	580
47	50	533.810766721	113.420880914	0.001781	-0.086304	528	395	0.0	-0.085	0	0	1	0	600
47	50	533.719412724	113.336052202	0.001753	-0.086330	528	395	0.0	-0.085	0	0	1	0	620
47	50	533.624796085	113.247960848	0.001724	-0.086357	528	395	0.0	-0.085	0	0	1	0	640
47	50	533.66721044	113.078303426	0.001737	-0.086409	528	395	0.0	-0.085	0	0	1	0	660
47	50	533.66721044	113.078303426	0.001737	-0.086409	528	395	0.0	-0.085	0	0	1	0	680
47	50	533.898858075	113.078303426	0.001808	-0.086409	528	395	0.0	-0.085	0	0	1	0	700
47	50	533.990212072	113.16639478	0.001836	-0.086382	528	395	0.0	-0.085	0	0	1	0	721
47	50	534.084828711	113.251223491	0.001865	-0.086356	528	395	0.0	-0.085	0	0	1	0	740
47	50	534.179445351	113.336052202	0.001894	-0.086330	528	395	0.0	-0.085	0	0	1	0	760
47	50	534.828711256	113.508972268	0.002093	-0.086277	528	395	0.0	-0.085	0	0	1	0	780
47	50	535.526916803	113.939641109	0.002307	-0.086145	528	395	0.0	-0.085	0	0	1	0	800
47	50	536.649265905	114.970636215	0.002651	-0.085829	528	395	0.0	-0.085	0	0	1	0	820
47	50	537.924959217	116.774877651	0.003042	-0.085276	528	395	0.0	-0.085	0	0	1	0	840
47	50	539.536704731	119.528548124	0.003536	-0.084432	528	395	0.0	-0.085	0	0	1	0	860
47	50	542.075040783	123.584013051	0.004314	-0.083189	528	395	0.0	-0.085	0	0	1	0	880
47	50	545.814029364	129.221859706	0.005460	-0.081461	528	395	0.0	-0.085	0	0	1	0	900
47	50	550.228384992	137.065252855	0.006813	-0.079057	528	395	0.0	-0.085	0	0	1	0	920
47	50	555.42903752	147.946166395	0.008407	-0.075722	528	395	0.0	-0.085	0	0	1	0	940
47	50	561.63132137	162.203915171	0.010308	-0.071352	528	395	0.0	-0.085	0	0	1	0	960
47	50	569.526916803	179.146818923	0.012728	-0.066159	528	395	0.0	-0.085	0	0	1	0	980
47	50	579.513866232	198.703099511	0.015789	-0.060165	528	395	0.0	-0.085	0	0	1	0	1000
47	50	591.477977162	220.52365416	0.019456	-0.053477	528	395	0.0	-0.085	0	0	1	0	1020
47	50	604.955954323	244.324632953	0.023587	-0.046182	528	395	0.0	-0.085	0	0	1	0	1040
47	50	620.192495922	268.89233279	0.028257	-0.038652	528	395	0.0	-0.085	0	0	1	0	1060
47	50	636.864600326	293.972267537	0.033367	-0.030965	528	395	0.0	-0.085	0	0	1	0	1080
47	50	654.20228385	318.680261011	0.038681	-0.023392	528	395	0.0	-0.085	0	0	1	0	1100
47	50	671.703099511	342.872756933	0.044045	-0.015977	528	395	0.0	-0.085	0	0	1	0	1120
47	50	688.554649266	366.458401305	0.049210	-0.008748	528	395	0.0	-0.085	0	0	1	0	1140
47	50	705.275693312	389.535073409	0.054335	-0.001675	528	395	0.0	-0.085	0	0	1	0	1160
47	50	721.885807504	412.070146819	0.059426	0.005232	528	395	0.0	-0.085	0	0	1	0	1180
47	50	738.075040783	433.805872757	0.064388	0.011894	528	395	0.0	-0.085	0	0	1	0	1200
47	50	753.76182708	454.477977162	0.069196	0.018230	528	395	0.0	-0.085	0.069196	0.018230	1	0	1569
48	130	528.982055465	118.040783034	0.000301	-0.084888	528	395	0.0	-0.085	0	0	1	0	0
48	130	528.753670473	118.040783034	0.000231	-0.084888	528	395	0.0	-0.085	0	0	1	0	21
48	130	528.616639478	118.125611746	0.000189	-0.084862	528	395	0.0	-0.085	0	0	1	0	40
48	130	528.616639478	118.125611746	0.000189	-0.084862	528	395	0.0	-0.085	0	0	1	0	60
48	130	528.933115824	117.783034258	0.000286	-0.084967	528	395	0.0	-0.085	0	0	1	0	80
48	130	529.383360522	117.355628059	0.000424	-0.085098	528	395	0.0	-0.085	0	0	1	0	100
48	130	529.55954323	117.097879282	0.000478	-0.085177	528	395	0.0	-0.085	0	0	1	0	120
48	130	529.644371941	116.755301794	0.000504	-0.085282	528	395	0.0	-0.085	0	0	1	0	140
48	130	529.729200653	116.412724307	0.000530	-0.085387	528	395	0.0	-0.085	0	0	1	0	160
48	130	529.765089723	115.812398042	0.000541	-0.085571	528	395	0.0	-0.085	0	0	1	0	181
48	130	529.703099511	115.127243067	0.000522	-0.085781	528	395	0.0	-0.085	0	0	1	0	200
48	130	529.735725938	114.526916803	0.000532	-0.085965	528	395	0.0	-0.085	0	0	1	0	220
48	130	530.032626427	113.329526917	0.000623	-0.086332	528	395	0.0	-0.085	0	0	1	0	240
48	130	530.77324633	111.277324633	0.000850	-0.086961	528	395	0.0	-0.085	0	0	1	0	269
48	130	530.848287113	110.510603589	0.000873	-0.087196	528	395	0.0	-0.085	0	0	1	0	280
48	130	531.092985318	109.061990212	0.000948	-0.087640	528	395	0.0	-0.085	0	0	1	0	300
48	130	531.464926591	107.101141925	0.001062	-0.088241	528	395	0.0	-0.085	0	0	1	0	320
48	130	531.931484502	105.231647635	0.001205	-0.088814	528	395	0.0	-0.085	0	0	1	0	341
48	130	531.712887439	103.7862969	0.001138	-0.089257	528	395	0.0	-0.085	0	0	1	0	360
48	130	530.71451876	102.680261011	0.000832	-0.089596	528	395	0.0	-0.085	0	0	1	0	380
48	130	529.305057096	101.831973899	0.000400	-0.089856	528	395	0.0	-0.085	0	0	1	0	400
48	130	527.947797716	101.23817292	-0.000016	-0.090038	528	395	0.0	-0.085	0	0	1	0	420
48	130	526.084828711	100.814029364	-0.000587	-0.090168	528	395	0.0	-0.085	0	0	1	0	440
48	130	524.358890701	100.308319739	-0.001116	-0.090323	528	395	0.0	-0.085	0	0	1	0	460
48	130	523.092985318	99.8026101142	-0.001504	-0.090478	528	395	0.0	-0.085	0	0	1	0	481
48	130	522.195758564	99.2120717781	-0.001779	-0.090659	528	395	0.0	-0.085	0	0	1	0	501
48	130	521.859706362	98.7063621533	-0.001882	-0.090814	528	395	0.0	-0.085	0	0	1	0	520
48	130	521.983686786	98.1973898858	-0.001844	-0.090970	528	395	0.0	-0.085	0	0	1	0	540
48	130	522.760195759	97.8580750408	-0.001606	-0.091074	528	395	0.0	-0.085	0	0	1	0	560
48	130	523.497553018	97.6851549755	-0.001380	-0.091127	528	395	0.0	-0.085	0	0	1	0	581
48	130	524.329526917	97.6003262643	-0.001125	-0.091153	528	395	0.0	-0.085	0	0	1	0	600
48	130	525.027732463	97.6003262643	-0.000911	-0.091153	528	395	0.0	-0.085	0	0	1	0	620
48	130	525.86949429	97.9363784666	-0.000653	-0.091050	528	395	0.0	-0.085	0	0	1	0	640
48	130	526.893964111	98.0212071778	-0.000339	-0.091024	528	395	0.0	-0.085	0	0	1	0	660
48	130	528.378466558	98.1060358891	0.000116	-0.090998	528	395	0.0	-0.085	0	0	1	0	680
48	130	530.052202284	98.3605220228	0.000629	-0.090920	528	395	0.0	-0.085	0	0	1	0	700
48	130	532.192495922	98.6150081566	0.001285	-0.090842	528	395	0.0	-0.085	0	0	1	0	720
48	130	533.918433931	99.1272430669	0.001814	-0.090685	528	395	0.0	-0.085	0	0	1	0	740
48	130	535.380097879	100.233278956	0.002262	-0.090346	528	395	0.0	-0.085	0	0	1	0	760
48	130	536.659053834	101.593800979	0.002654	-0.089929	528	395	0.0	-0.085	0	0	1	0	781
48	130	537.716150082	103.378466558	0.002978	-0.089382	528	395	0.0	-0.085	0	0	1	0	800
48	130	538.590538336	105.420880914	0.003246	-0.088756	528	395	0.0	-0.085	0	0	1	0	820
48	130	539.461663948	107.466557912	0.003513	-0.088129	528	395	0.0	-0.085	0	0	1	0	840
48	130	540.652528548	109.603588907	0.003878	-0.087474	528	395	0.0	-0.085	0	0	1	0	860
48	130	542.159869494	111.4045677	0.004340	-0.086922	528	395	0.0	-0.085	0	0	1	0	880
48	130	544.026101142	112.696574225	0.004912	-0.086526	528	395	0.0	-0.085	0	0	1	0	900
48	130	545.840130506	113.737357259	0.005468	-0.086207	528	395	0.0	-0.085	0	0	1	0	920
48	130	547.507340946	114.435562806	0.005979	-0.085993	528	395	0.0	-0.085	0	0	1	0	940
48	130	549.621533442	114.282218597	0.006627	-0.086040	528	395	0.0	-0.085	0	0	1	0	960
48	130	550.724306688	114.034257749	0.006965	-0.086116	528	395	0.0	-0.085	0	0	1	0	980
48	130	551.409461664	113.613376835	0.007175	-0.086245	528	395	0.0	-0.085	0	0	1	0	1001
48	130	551.951060359	112.849918434	0.007341	-0.086479	528	395	0.0	-0.085	0	0	1	0	1020
48	130	552.078303426	111.910277325	0.007380	-0.086767	528	395	0.0	-0.085	0	0	1	0	1041
48	130	551.973898858	110.970636215	0.007348	-0.087055	528	395	0.0	-0.085	0	0	1	0	1061
48	130	551.184339315	110.448613377	0.007106	-0.087215	528	395	0.0	-0.085	0	0	1	0	1080
48	130	549.980424144	110.184339315	0.006737	-0.087296	528	395	0.0	-0.085	0	0	1	0	1100
48	130	549.008156607	109.91680261	0.006439	-0.087378	528	395	0.0	-0.085	0	0	1	0	1120
48	130	547.804241436	109.652528548	0.006070	-0.087459	528	395	0.0	-0.085	0	0	1	0	1140
48	130	546.694942904	109.473083197	0.005730	-0.087514	528	395	0.0	-0.085	0	0	1	0	1160
48	130	545.866231648	109.551386623	0.005476	-0.087490	528	395	0.0	-0.085	0	0	1	0	1181
48	130	545.223491028	109.802610114	0.005279	-0.087413	528	395	0.0	-0.085	0	0	1	0	1200
48	130	544.358890701	110.477977162	0.005014	-0.087206	528	395	0.0	-0.085	0	0	1	0	1220
48	130	543.458401305	111.753670473	0.004738	-0.086815	528	395	0.0	-0.085	0	0	1	0	1240
48	130	542.564437194	113.456769984	0.004464	-0.086293	528	395	0.0	-0.085	0	0	1	0	1260
48	130	540.763458401	116.014681892	0.003912	-0.085509	528	395	0.0	-0.085	0	0	1	0	1280
48	130	538.564437194	119.264274062	0.003238	-0.084513	528	395	0.0	-0.085	0	0	1	0	1300
48	130	535.331158238	123.469820555	0.002247	-0.083224	528	395	0.0	-0.085	0	0	1	0	1320
48	130	530.753670473	128.983686786	0.000844	-0.081534	528	395	0.0	-0.085	0	0	1	0	1340
48	130	524.668841762	136.096247961	-0.001021	-0.079354	528	395	0.0	-0.085	0	0	1	0	1360
48	130	517.177814029	144.48776509	-0.003317	-0.076782	528	395	0.0	-0.085	0	0	1	0	1380
48	130	507.644371941	155.078303426	-0.006239	-0.073536	528	395	0.0	-0.085	0	0	1	0	1401
48	130	497.086460033	167.574225122	-0.009475	-0.069706	528	395	0.0	-0.085	0	0	1	0	1421
48	130	484.668841762	182.941272431	-0.013281	-0.064996	528	395	0.0	-0.085	0	0	1	0	1441
48	130	470.659053834	200.83360522	-0.017575	-0.059512	528	395	0.0	-0.085	0	0	1	0	1460
48	130	455.986949429	220.866231648	-0.022072	-0.053372	528	395	0.0	-0.085	0	0	1	0	1480
48	130	439.947797716	243.052202284	-0.026988	-0.046572	528	395	0.0	-0.085	0	0	1	0	1500
48	130	423.461663948	266.980424144	-0.032041	-0.039238	528	395	0.0	-0.085	0	0	1	0	1520
48	130	406.446982055	292.810766721	-0.037256	-0.031321	528	395	0.0	-0.085	0	0	1	0	1540
48	130	389.719412724	319.796084829	-0.042383	-0.023050	528	395	0.0	-0.085	0	0	1	0	1560
48	130	373.810766721	347.326264274	-0.047259	-0.014612	528	395	0.0	-0.085	0	0	1	0	1580
48	130	358.920065253	375.36867863	-0.051823	-0.006017	528	395	0.0	-0.085	0	0	1	0	1601
48	130	345.807504078	403.339314845	-0.055842	0.002556	528	395	0.0	-0.085	0	0	1	0	1620
48	130	334.244698206	430.996737357	-0.059386	0.011033	528	395	0.0	-0.085	0	0	1	0	1640
48	130	324.411092985	458.060358891	-0.062400	0.019328	528	395	0.0	-0.085	-0.062400	0.019328	1	0	2009
49	90	527.752039152	112.301794454	-0.000076	-0.086647	528	395	0.0	-0.085	0	0	1	0	0
49	90	528.058727569	111.535073409	0.000018	-0.086882	528	395	0.0	-0.085	0	0	1	0	20
49	90	528.33278956	109.486133768	0.000102	-0.087510	528	395	0.0	-0.085	0	0	1	0	40
49	90	528.042414356	106.92822186	0.000013	-0.088294	528	395	0.0	-0.085	0	0	1	0	60
49	90	527.096247961	104.207177814	-0.000277	-0.089128	528	395	0.0	-0.085	0	0	1	0	80
49	90	525.582381729	100.983686786	-0.000741	-0.090116	528	395	0.0	-0.085	0	0	1	0	100
49	90	523.445350734	97.4339314845	-0.001396	-0.091204	528	395	0.0	-0.085	0	0	1	0	120
49	90	520.564437194	94.0636215334	-0.002279	-0.092237	528	395	0.0	-0.085	0	0	1	0	140
49	90	517.246329527	90.5399673736	-0.003296	-0.093317	528	395	0.0	-0.085	0	0	1	0	161
49	90	513.686786297	87.0326264274	-0.004387	-0.094392	528	395	0.0	-0.085	0	0	1	0	180
49	90	510.110929853	83.5383360522	-0.005483	-0.095463	528	395	0.0	-0.085	0	0	1	0	200
49	90	506.67862969	80.3898858075	-0.006535	-0.096428	528	395	0.0	-0.085	0	0	1	0	220
49	90	503.386623165	77.5905383361	-0.007544	-0.097286	528	395	0.0	-0.085	0	0	1	0	240
49	90	500.280587276	74.9608482871	-0.008496	-0.098092	528	395	0.0	-0.085	0	0	1	0	260
49	90	498.104404568	72.3311582382	-0.009163	-0.098898	528	395	0.0	-0.085	0	0	1	0	280
49	90	496.587275693	69.8646003263	-0.009628	-0.099654	528	395	0.0	-0.085	0	0	1	0	300
49	90	496.218597064	67.969004894	-0.009741	-0.100235	528	395	0.0	-0.085	0	0	1	0	320
49	90	496.257748777	66.8140293638	-0.009729	-0.100589	528	395	0.0	-0.085	0	0	1	0	340
49	90	496.942903752	66.3898858075	-0.009519	-0.100719	528	395	0.0	-0.085	0	0	1	0	361
49	90	498.215334421	66.4584013051	-0.009129	-0.100698	528	395	0.0	-0.085	0	0	1	0	380
49	90	500.208809135	66.9282218597	-0.008518	-0.100554	528	395	0.0	-0.085	0	0	1	0	401
49	90	502.577487765	67.3164763458	-0.007792	-0.100435	528	395	0.0	-0.085	0	0	1	0	420
49	90	504.861337684	68.0375203915	-0.007092	-0.100214	528	395	0.0	-0.085	0	0	1	0	440
49	90	506.636215334	68.9314845024	-0.006548	-0.099940	528	395	0.0	-0.085	0	0	1	0	460
49	90	507.980424144	69.6623164763	-0.006136	-0.099716	528	395	0.0	-0.085	0	0	1	0	481
49	90	509.363784666	70.233278956	-0.005712	-0.099541	528	395	0.0	-0.085	0	0	1	0	500
49	90	510.358890701	70.471451876	-0.005407	-0.099468	528	395	0.0	-0.085	0	0	1	0	521
49	90	511.337683524	70.3017944535	-0.005107	-0.099520	528	395	0.0	-0.085	0	0	1	0	541
49	90	512.20228385	69.6329526917	-0.004842	-0.099725	528	395	0.0	-0.085	0	0	1	0	566
49	90	512.792822186	69.1337683524	-0.004661	-0.099878	528	395	0.0	-0.085	0	0	1	0	580
49	90	513.28548124	68.5497553018	-0.004510	-0.100057	528	395	0.0	-0.085	0	0	1	0	600
49	90	513.324632953	68.3866231648	-0.004498	-0.100107	528	395	0.0	-0.085	0	0	1	0	620
49	90	513.089722675	68.3866231648	-0.004570	-0.100107	528	395	0.0	-0.085	0	0	1	0	641
49	90	512.776508972	68.7194127243	-0.004666	-0.100005	528	395	0.0	-0.085	0	0	1	0	661
49	90	512.241435563	69.4665579119	-0.004830	-0.099776	528	395	0.0	-0.085	0	0	1	0	681
49	90	511.72593801	70.6280587276	-0.004988	-0.099420	528	395	0.0	-0.085	0	0	1	0	700
49	90	511.125611746	72.1223491028	-0.005172	-0.098962	528	395	0.0	-0.085	0	0	1	0	720
49	90	510.287112561	74.6182707993	-0.005429	-0.098197	528	395	0.0	-0.085	0	0	1	0	740
49	90	510.140293638	78.1125611746	-0.005474	-0.097126	528	395	0.0	-0.085	0	0	1	0	761
49	90	509.72593801	83.2055464927	-0.005601	-0.095565	528	395	0.0	-0.085	0	0	1	0	780
49	90	509.680261011	89.6590538336	-0.005615	-0.093587	528	395	0.0	-0.085	0	0	1	0	801
49	90	509.683523654	97.8352365416	-0.005614	-0.091081	528	395	0.0	-0.085	0	0	1	0	820
49	90	508.453507341	108.28548124	-0.005991	-0.087878	528	395	0.0	-0.085	0	0	1	0	840
49	90	507.491027732	120.533442088	-0.006286	-0.084124	528	395	0.0	-0.085	0	0	1	0	860
49	90	506.466557912	134.539967374	-0.006600	-0.079831	528	395	0.0	-0.085	0	0	1	0	880
49	90	504.825448613	150.709624796	-0.007103	-0.074875	528	395	0.0	-0.085	0	0	1	0	901
49	90	503.151712887	169.013050571	-0.007616	-0.069265	528	395	0.0	-0.085	0	0	1	0	920
49	90	500.942903752	189.707993475	-0.008293	-0.062922	528	395	0.0	-0.085	0	0	1	0	940
49	90	499.243066884	212.135399674	-0.008814	-0.056048	528	395	0.0	-0.085	0	0	1	0	961
49	90	497.585644372	236.817292007	-0.009322	-0.048483	528	395	0.0	-0.085	0	0	1	0	981
49	90	495.980424144	263.179445351	-0.009814	-0.040403	528	395	0.0	-0.085	0	0	1	0	1001
49	90	494.704730832	291.365415987	-0.010205	-0.031764	528	395	0.0	-0.085	0	0	1	0	1021
49	90	494.104404568	321.133768352	-0.010389	-0.022640	528	395	0.0	-0.085	0	0	1	0	1040
49	90	494.828711256	352.132137031	-0.010167	-0.013139	528	395	0.0	-0.085	0	0	1	0	1061
49	90	496.597063622	384.389885808	-0.009625	-0.003252	528	395	0.0	-0.085	0	0	1	0	1080
49	90	500.293637847	416.298531811	-0.008492	0.006528	528	395	0.0	-0.085	0	0	1	0	1100
49	90	505.269168026	448.138662316	-0.006967	0.016287	528	395	0.0	-0.085	0	0	1	0	1121
49	90	511.017944535	479.267536705	-0.005205	0.025828	528	395	0.0	-0.085	0	0	1	0	1140
49	90	518.77324633	508.373572594	-0.002828	0.034749	528	395	0.0	-0.085	0	0	1	0	1161
49	90	528.218597064	534.960848287	0.000067	0.042898	528	395	0.0	-0.085	0.000067	0.042898	1	0	1529
50	50	527.683523654	115.381729201	-0.000097	-0.085703	528	395	0.0	-0.085	0	0	1	0	0
50	50	527.810766721	114.86949429	-0.000058	-0.085860	528	395	0.0	-0.085	0	0	1	0	20
